Sarsa,QLearning,Sarsa Error Bar,QLearning Error Bar
954,1011,39.6076,0
982.167,985.4,28.8333,25.6
981.933,1011,29.0667,0
982,1011,29,0
981.667,1011,29.3333,0
981.967,1011,29.0333,0
982.267,988.967,28.7333,22.0333
982.233,1011,28.7667,0
982.2,1011,28.8,0
982.333,1011,28.6667,0
961.267,1011,34.9626,0
982.233,1011,28.7667,0
949.767,1011,42.6227,0
982.2,1011,28.8,0
982.067,982.233,28.9333,28.7667
955.167,1011,38.8143,0
981.967,1011,29.0333,0
982.1,1011,28.9,0
981.8,977.733,29.2,33.2667
982.2,1011,28.8,0
982.1,1011,28.9,0
974.067,1011,29.6794,0
982.133,1011,28.8667,0
981.833,1011,29.1667,0
982.133,1011,28.8667,0
955.133,1011,38.8366,0
982.133,1011,28.8667,0
981.833,1011,29.1667,0
982.233,1011,28.7667,0
982.133,1011,28.8667,0
982,1011,29,0
981.967,1011,29.0333,0
982.167,983.733,28.8333,27.2667
982.333,1011,28.6667,0
948.833,1011,43.3114,0
982.133,1011,28.8667,0
982.133,1011,28.8667,0
982.2,1011,28.8,0
953.467,1011,39.9751,0
948.867,1011,43.2866,0
981.867,1011,29.1333,0
981.7,1011,29.3,0
982.167,1011,28.8333,0
982.3,1011,28.7,0
982.133,1011,28.8667,0
981.9,1011,29.1,0
952.767,1011,40.4616,0
982.233,1011,28.7667,0
981.967,1011,29.0333,0
982.2,1011,28.8,0
982.133,1011,28.8667,0
982.1,1011,28.9,0
982.1,1011,28.9,0
982.233,1011,28.7667,0
921.3,1011,50.1443,0
982.267,1011,28.7333,0
982.033,1011,28.9667,0
982.167,1011,28.8333,0
982.333,1011,28.6667,0
948.733,1011,43.3755,0
982.333,1011,28.6667,0
948.967,1011,43.2299,0
982.333,1011,28.6667,0
981.933,1011,29.0667,0
982.2,1011,28.8,0
982.467,1011,28.5333,0
981.933,1011,29.0667,0
982.2,1011,28.8,0
982.4,1011,28.6,0
982.333,1011,28.6667,0
982.433,1011,28.5667,0
982.2,1011,28.8,0
982.133,1011,28.8667,0
982.267,1011,28.7333,0
982.1,1011,28.9,0
982.167,1011,28.8333,0
982.2,1011,28.8,0
982,984.333,29,26.6667
982.033,1011,28.9667,0
982.367,1011,28.6333,0
982.3,1011,28.7,0
982.2,1011,28.8,0
982.333,1011,28.6667,0
982.233,1011,28.7667,0
982.167,1011,28.8333,0
982.267,1011,28.7333,0
982.1,1011,28.9,0
982.233,1011,28.7667,0
982.333,1011,28.6667,0
982.2,1011,28.8,0
982.3,1011,28.7,0
982.167,1011,28.8333,0
982.267,1011,28.7333,0
982.3,1011,28.7,0
982.2,977.7,28.8,33.3
982.233,1011,28.7667,0
982.333,1011,28.6667,0
982.267,1011,28.7333,0
982.333,1011,28.6667,0
982.233,1011,28.7667,0
982.267,1011,28.7333,0
982.4,1011,28.6,0
982.167,977.7,28.8333,33.3
982.6,1011,28.4,0
982.467,1011,28.5333,0
982.4,1011,28.6,0
949.133,1011,43.1126,0
982.067,1002,28.9333,9
982.3,1011,28.7,0
982.433,1011,28.5667,0
982.033,1011,28.9667,0
982.333,1011,28.6667,0
982.333,1011,28.6667,0
960.933,1011,35.156,0
982.2,1011,28.8,0
982.3,1011,28.7,0
982.5,1011,28.5,0
982.233,1011,28.7667,0
982.233,1011,28.7667,0
982.233,1011,28.7667,0
982.333,1011,28.6667,0
982.367,1011,28.6333,0
982.467,1011,28.5333,0
982.267,1011,28.7333,0
982.667,1011,28.3333,0
982.2,1011,28.8,0
982.333,1011,28.6667,0
982.367,1011,28.6333,0
982.4,1011,28.6,0
982.4,1011,28.6,0
982.333,1011,28.6667,0
982.2,1011,28.8,0
982.367,1011,28.6333,0
982.367,1011,28.6333,0
982.3,1011,28.7,0
982.167,1011,28.8333,0
982.367,1011,28.6333,0
982.3,1008.57,28.7,2.43333
982.067,989.1,28.9333,21.9
982.267,1011,28.7333,0
982.367,1011,28.6333,0
982.367,1011,28.6333,0
982.267,1001.17,28.7333,9.83333
982.433,1011,28.5667,0
982.467,1010.63,28.5333,0.366667
982.033,1011,28.9667,0
982.333,1011,28.6667,0
982.267,1011,28.7333,0
982.4,1011,28.6,0
982.7,1011,28.3,0
982.633,1011,28.3667,0
956.133,1011,38.1472,0
982.5,1011,28.5,0
982.3,1011,28.7,0
982.433,1011,28.5667,0
982.067,1011,28.9333,0
982.333,1011,28.6667,0
982.033,1011,28.9667,0
982.567,1011,28.4333,0
982.433,1011,28.5667,0
982.467,1011,28.5333,0
982.567,1011,28.4333,0
982.7,1011,28.3,0
982.567,990.4,28.4333,20.6
982.533,1011,28.4667,0
982.4,985.267,28.6,25.7333
955.7,959.3,38.4472,37.4996
982.4,1011,28.6,0
982.567,1011,28.4333,0
982.5,1011,28.5,0
982.567,1011,28.4333,0
982.6,994.6,28.4,16.4
982.467,1011,28.5333,0
982.367,1011,28.6333,0
982.633,1011,28.3667,0
982.5,1011,28.5,0
982.733,1011,28.2667,0
982.167,1011,28.8333,0
982.533,1011,28.4667,0
982.2,977.767,28.8,33.2333
982.4,1011,28.6,0
982.8,1011,28.2,0
982.5,977.7,28.5,33.3
982.8,1011,28.2,0
977.8,1011,33.2,0
982.433,1011,28.5667,0
982.533,1011,28.4667,0
982.8,1011,28.2,0
982.7,1011,28.3,0
961.333,1011,34.8337,0
970.1,1011,30.7407,0
982.833,1011,28.1667,0
982.433,1011,28.5667,0
982.4,1011,28.6,0
982.733,1011,28.2667,0
982.767,1011,28.2333,0
982.8,1011,28.2,0
982.8,1011,28.2,0
982.5,999.933,28.5,11.0667
982.367,1011,28.6333,0
982.333,1011,28.6667,0
982.933,1011,28.0667,0
960.3,1011,35.4536,0
982.667,1011,28.3333,0
982.767,1011,28.2333,0
982.8,1011,28.2,0
982.967,1011,28.0333,0
982.633,1011,28.3667,0
982.8,1011,28.2,0
982.733,1011,28.2667,0
982.933,1011,28.0667,0
982.2,1011,28.8,0
982.433,1011,28.5667,0
982.7,1011,28.3,0
982.767,1011,28.2333,0
982.933,1011,28.0667,0
982.633,1011,28.3667,0
977.8,1011,28.6391,0
982.7,1011,28.3,0
982.5,1011,28.5,0
982.833,1011,28.1667,0
982.9,1011,28.1,0
982.633,1011,28.3667,0
982.767,1011,28.2333,0
982.533,1011,28.4667,0
982.533,1011,28.4667,0
982.8,1011,28.2,0
982.5,994.3,28.5,16.7
949.267,1011,43.0354,0
982.867,1011,28.1333,0
982.6,1011,28.4,0
982.9,1011,28.1,0
982.7,1011,28.3,0
982.9,1011,28.1,0
982.9,1011,28.1,0
982.767,1011,28.2333,0
982.7,977.667,28.3,33.3333
982.967,1011,28.0333,0
982.833,984.633,28.1667,26.3667
982.933,1011,28.0667,0
982.8,1011,28.2,0
982.567,1011,28.4333,0
983.033,1011,27.9667,0
982.833,977.667,28.1667,33.3333
982.967,1001.83,28.0333,9.16667
982.933,1011,28.0667,0
982.9,1011,28.1,0
982.967,1011,28.0333,0
982.8,1011,28.2,0
982.633,1011,28.3667,0
983.033,1011,27.9667,0
982.9,1011,28.1,0
983.133,1011,27.8667,0
975.3,1011,28.7096,0
982.767,1011,28.2333,0
982.9,1011,28.1,0
982.467,1011,28.5333,0
982.9,1011,28.1,0
983.133,1011,27.8667,0
983.233,1011,27.7667,0
983.167,1011,27.8333,0
982.967,1011,28.0333,0
983.067,1011,27.9333,0
983.1,1011,27.9,0
982.633,1011,28.3667,0
982.967,1011,28.0333,0
950.2,1011,42.4405,0
983.167,1011,27.8333,0
983.367,1011,27.6333,0
982.967,1011,28.0333,0
983.067,1011,27.9333,0
982.7,1011,28.3,0
983.2,1011,27.8,0
982.833,1011,28.1667,0
982.567,1011,28.4333,0
982.367,1011,28.6333,0
983.2,1011,27.8,0
982.867,1011,28.1333,0
983.333,993.167,27.6667,17.8333
983.367,1011,27.6333,0
982.5,1011,28.5,0
983.1,1011,27.9,0
983.367,1011,27.6333,0
983.033,1011,27.9667,0
949.767,1011,42.7158,0
982.9,1011,28.1,0
982.9,1011,28.1,0
983.033,1011,27.9667,0
983.167,1011,27.8333,0
983.233,1011,27.7667,0
983.233,1011,27.7667,0
983.133,1011,27.8667,0
983.267,1011,27.7333,0
983.167,1011,27.8333,0
983.233,1011,27.7667,0
982.7,1011,28.3,0
983.5,1011,27.5,0
983.067,1011,27.9333,0
983.4,1011,27.6,0
983.6,1011,27.4,0
983.567,983.333,27.4333,27.6667
983.4,1011,27.6,0
982.867,1011,28.1333,0
983.9,1002.03,27.1,8.96667
983.233,1011,27.7667,0
983.367,1011,27.6333,0
983.133,1011,27.8667,0
983.367,1011,27.6333,0
983.4,1011,27.6,0
983.367,1011,27.6333,0
983.033,1011,27.9667,0
983.067,1011,27.9333,0
983.233,1011,27.7667,0
983.367,1011,27.6333,0
983.433,1011,27.5667,0
983.233,1011,27.7667,0
983.167,1011,27.8333,0
983.3,1011,27.7,0
983.667,1011,27.3333,0
983.1,1011,27.9,0
983.5,1011,27.5,0
983.367,1011,27.6333,0
983,1011,28,0
983.6,1011,27.4,0
983.433,1011,27.5667,0
983.6,1011,27.4,0
950.033,1011,42.5535,0
983.6,1011,27.4,0
983.467,1011,27.5333,0
983.333,1011,27.6667,0
983.5,1011,27.5,0
983.467,1011,27.5333,0
980.1,1011,27.5326,0
983.3,1011,27.7,0
983.5,1011,27.5,0
983.2,1011,27.8,0
984.233,1011,26.7667,0
984.567,1011,26.4333,0
984.433,1011,26.5667,0
983.433,1011,27.5667,0
983.5,1011,27.5,0
983.067,1011,27.9333,0
983.6,1011,27.4,0
983.8,1011,27.2,0
977.467,1011,28.2178,0
983.267,1011,27.7333,0
983.667,1011,27.3333,0
983.3,1011,27.7,0
983.567,1011,27.4333,0
983.633,1011,27.3667,0
983.267,1011,27.7333,0
983.6,1011,27.4,0
983.233,1011,27.7667,0
983.533,1011,27.4667,0
984.033,1011,26.9667,0
983.333,1011,27.6667,0
983.9,1011,27.1,0
983.9,1011,27.1,0
983.433,1011,27.5667,0
983.533,1011,27.4667,0
983.767,1011,27.2333,0
984,1011,27,0
984.033,1011,26.9667,0
