Sarsa,QLearning,Sarsa Error Bar,QLearning Error Bar
-396.6,-336.967,23.3645,13.6459
-339,-394.833,16.7126,21.9583
-391.967,-356.633,16.4825,13.5573
-373.467,-351.367,20.9902,20.1814
-383.933,-357.933,17.7073,14.7218
-368.6,-369.333,18.6745,17.1144
-410.667,-360.933,17.407,16.1434
-406.333,-350.467,19.0052,14.1732
-400.767,-374.4,21.5113,21.0747
-318.433,-384.833,16.9199,17.3081
-374.7,-331.967,19.9684,13.5089
-401.767,-326.133,21.0533,13.5159
-377.967,-353.6,22.0658,13.3728
-349.633,-359.7,20.6685,15.8758
-388.467,-343.533,19.7742,17.774
-363.633,-346.3,19.8209,17.1286
-390.133,-342.833,19.7356,19.497
-382.533,-317.567,17.5519,12.2058
-349.4,-346.4,14.5692,13.7446
-351.433,-335.667,21.4605,15.6124
-361.833,-331.2,13.6916,13.9036
-368.4,-349.5,20.407,19.3224
-335.633,-353.333,16.2668,17.4985
-364.767,-336.067,22.4377,16.8601
-358.667,-348.133,21.0302,19.9802
-333.733,-341.067,13.5061,18.6568
-361.8,-339.767,19.8201,12.7227
-353.967,-340,16.4015,14.1309
-403.5,-344.3,22.6609,17.3222
-339.333,-341.3,19.3891,18.0623
-359,-345.967,19.124,18.0375
-349.3,-353.8,22.6568,18.5941
-336.667,-351.267,19.4722,21.6148
-337.533,-321.867,16.152,11.1498
-359.733,-341.8,16.7902,19.9881
-335.767,-345.4,15.3098,15.2587
-343.633,-322.2,19.579,13.1541
-342.333,-338.4,18.2793,16.8793
-343.933,-309.333,15.7598,11.4473
-324.467,-332.233,14.5847,15.8618
-345.067,-323.8,20.1084,18.1022
-344.833,-339.167,14.7281,21.4477
-338.867,-322.8,17.6592,16.4655
-378.3,-326.667,18.5832,14.3556
-347.267,-291.8,16.3282,12.3139
-326.433,-295.567,13.9413,14.653
-320.467,-325.6,19.3479,14.2213
-371.833,-319.867,20.3063,15.7066
-332.467,-345.367,12.8618,18.5167
-367.333,-305.033,23.2221,13.0519
-337.767,-331.967,19.1832,14.8502
-340,-332.8,11.789,13.5168
-341.567,-313.933,15.7338,11.348
-317.733,-318.4,14.5807,16.2486
-327.433,-340.733,18.4563,16.4873
-313.2,-331.767,14.6355,15.7049
-325.533,-330.533,16.1234,13.4864
-319.1,-306,16.4308,10.6513
-329.233,-293.5,17.197,11.5757
-328.767,-299.2,17.2283,14.325
-332.933,-313.7,13.4384,15.4609
-315.667,-321.9,15.9644,16.0385
-299.867,-328.567,11.2263,16.2766
-322.033,-333.933,12.3614,13.6101
-326.1,-328.067,18.0517,15.2155
-326.7,-301.233,15.9218,11.1914
-324.7,-311.033,13.7021,10.5888
-316.8,-341.2,14.3439,17.791
-315.1,-309.267,14.8109,12.9392
-328.767,-287.2,17.4913,12.4568
-315.1,-299.4,13.2059,9.31352
-311.767,-298.367,12.6709,12.9269
-315.167,-294.7,13.2906,12.6871
-301.633,-294.833,12.5199,9.85003
-316.3,-316.833,11.5716,17.4468
-319.533,-333.833,15.2647,16.2404
-344.433,-302.133,19.5524,11.5561
-301.667,-295.8,11.2088,13.0494
-323,-325.833,13.7023,15.9438
-335,-307.067,14.0129,14.304
-329.533,-310.9,16.4259,15.7993
-306.967,-322.567,13.2028,18.4915
-297.8,-311.467,13.9216,14.7272
-314.067,-287.6,10.4,11.8355
-335.533,-287.867,13.4649,11.4174
-293.5,-287.6,10.4105,18.0226
-313.8,-321.467,11.364,16.1308
-322.4,-305.533,15.7267,11.4406
-323.467,-304.033,13.8377,13.4396
-301,-298.567,14.7718,12.1798
-280.2,-272.167,13.1011,11.9014
-296.5,-307.567,11.7394,13.2189
-324.467,-327.6,13.5801,17.8125
-314.2,-275.533,13.3977,11.7309
-321.933,-288.067,13.8336,12.9979
-314.833,-304.9,12.2981,13.6647
-299.267,-295.367,14.0431,12.1088
-293.967,-309.633,11.0599,15.8503
-283.3,-302.233,13.1152,13.5665
-313.833,-287.9,12.0734,12.9705
-291.1,-304.033,10.3107,14.2883
-273.167,-293.333,15.3488,12.0409
-307.6,-296.867,12.4757,12.3429
-294.633,-296.133,10.8951,15.6937
-296.767,-295.1,11.5143,13.8205
-300.233,-288.2,14.6574,12.3868
-305.933,-266.533,15.3412,11.0628
-314.6,-308.867,17.7647,16.5546
-291.667,-268.7,14.3178,9.56372
-275.833,-307.467,12.5322,15.4508
-284.333,-288.233,12.2369,11.8165
-291.267,-270.633,13.1029,11.2832
-288.9,-280.567,8.67383,10.8417
-320.8,-311.7,17.2718,13.8502
-284.8,-308.867,15.7119,17.3023
-294.633,-290.133,13.3739,13.5237
-279.833,-279.7,10.7993,11.7298
-308.1,-285.033,15.3204,11.1055
-305.833,-275.5,14.1758,11.9243
-288.833,-274.933,9.49629,10.1178
-280.6,-289.9,14.2374,12.1062
-272.533,-301.867,15.3262,14.2222
-306.2,-264.867,12.0665,6.98829
-285.7,-288.4,10.4462,13.589
-299.2,-268.367,15.8184,10.1821
-313.067,-278.733,11.4081,15.3424
-271,-289.667,11.0095,13.8171
-307.733,-289.467,12.9483,10.0457
-271.333,-286.633,12.565,12.7908
-328.033,-282.167,19.6428,13.6046
-275.9,-269.2,10.5629,9.67903
-285.333,-294.1,9.85368,12.9463
-271.333,-303.133,12.9389,15.5701
-295.4,-283.767,14.5344,13.0221
-269.4,-282.4,12.0777,13.825
-278.967,-292.567,12.1175,14.3379
-289.667,-272.4,15.6675,14.2063
-273,-281.8,12.5781,19.3271
-281.333,-280.633,14.8872,13.0106
-276.633,-301.033,12.9503,12.3211
-281.9,-285.6,12.404,12.031
-306,-273.933,14.7429,10.5892
-306.033,-272.633,15.3577,13.1083
-288.267,-294.467,13.9627,12.1453
-285.2,-288.967,13.6241,10.1831
-272.167,-281.633,11.7293,12.2178
-294.833,-268.467,12.1504,10.2898
-275.867,-258.767,15.1458,9.95781
-281.867,-262.1,16.425,8.91523
-266.9,-275.733,11.2357,12.869
-273.6,-271.633,10.2284,10.8046
-278.267,-290.3,15.0123,12.1983
-279.333,-268.167,13.6258,11.167
-264.9,-277.833,8.37146,11.539
-272.2,-285.667,13.589,12.1256
-259.533,-273.733,13.9673,12.3451
-281.133,-291.067,15.3043,14.074
-293.1,-271.1,10.187,13.0158
-277.333,-256.033,11.0586,10.7444
-264.833,-263.433,12.1788,9.34679
-254.733,-268.067,10.55,9.7794
-295.833,-262.933,15.7958,10.7791
-278.4,-264.733,15.5389,8.89349
-274.6,-273.5,11.289,8.41
-269.6,-267.9,12.2065,7.8429
-265.533,-274.533,10.3139,12.674
-297.933,-266.9,16.0667,9.47378
-282.133,-272.667,9.16813,11.5041
-281.433,-261,12.1773,9.87112
-271.9,-292.833,15.6635,13.4767
-268.467,-278.533,9.11002,10.61
-249.3,-251.667,10.3519,7.93078
-281.067,-271.167,10.5356,14.9665
-253.4,-259.067,8.78604,11.7786
-246.367,-261.467,9.94207,9.18466
-278.967,-248.967,14.9053,9.09559
-287.933,-269.567,16.0942,11.1548
-288.5,-275.5,14.5688,15.1141
-267.7,-273.3,11.3235,12.0349
-248.333,-255.533,10.5277,8.03709
-296.4,-263.633,15.4476,14.7278
-275.533,-251.533,12.3521,10.7171
-266.267,-271.1,12.8761,14.301
-265,-273.533,12.5423,12.3955
-262.333,-287.767,10.8255,13.8127
-255.333,-290.6,8.41077,20.0602
-249.2,-282.933,11.0249,13.0183
-257.267,-294.1,10.4814,13.4098
-277,-254.1,15.7024,9.18574
-262.633,-265.067,10.4895,11.2722
-278.767,-278.367,17.1028,11.439
-295.733,-276.8,16.8839,12.0396
-282.333,-260.333,16.1015,10.1044
-261.6,-244.533,9.40733,12.8534
-272.267,-268.1,14.0972,9.84061
-257.767,-249.3,11.1055,8.4244
-256.433,-270.467,9.32586,11.5305
-244.167,-266.467,8.07694,10.9397
-272.733,-254.633,19.9038,11.8447
-254.133,-258.3,8.71064,12.4849
-267.5,-256.467,14.2564,10.9332
-256.267,-267.833,12.0871,11.4829
-265.267,-275.067,12.0747,13.3996
-278.4,-254.633,9.83526,10.1315
-270.733,-260.833,12.5688,7.62469
-245.867,-262.567,9.90631,9.50544
-271.367,-253.8,17.9663,6.51372
-261.967,-270.067,11.2729,10.9771
-265.7,-280.667,12.1394,11.8688
-269.4,-283.133,9.13986,13.3986
-249.833,-284.1,7.51353,13.6512
-267.633,-246.467,11.3423,8.43048
-270.267,-255.167,13.8562,11.4386
-286.8,-262.1,12.7416,10.9162
-254.4,-247.433,10.1628,9.70421
-249.967,-271.633,7.02647,12.0446
-259.433,-290.6,10.0265,13.0499
-253.867,-270.167,10.4549,14.0757
-248.7,-242.6,8.72204,9.68072
-246.4,-255.7,10.7714,9.49642
-260.467,-256.433,9.79863,10.7212
-239.8,-260.7,11.7773,8.04587
-270.733,-243.9,13.6532,7.46168
-248.433,-247.733,11.1796,9.59189
-269.867,-247.333,13.8517,9.71624
-234,-271.433,7.5288,11.8125
